****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      5.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       115     9.775     0.876     0.000     1.235    -6.869     4.887     0.020     9.753    31.624 10230.194  1024.385     9.775    20.185
       116     9.971     0.888     0.000     1.251    -6.899     4.985     0.020     9.750    31.618 10029.564  1024.381     9.971    20.612
       117    10.170     0.901     0.000     1.267    -6.930     5.085     0.020     9.748    31.613  9832.869  1024.377    10.170    21.048
       118    10.373     0.914     0.000     1.283    -6.960     5.187     0.020     9.745    31.608  9640.034  1024.374    10.373    21.491
       119    10.581     0.927     0.000     1.299    -6.992     5.290     0.020     9.742    31.603  9450.982  1024.370    10.581    21.942
       120    10.793     0.940     0.000     1.315    -7.023     5.396     0.020     9.740    31.598  9265.639  1024.367    10.793    22.401
       121    11.008     0.954     0.000     1.331    -7.055     5.504     0.020     9.737    31.594  9083.932  1024.364    11.008    22.869
       122    11.229     0.968     0.000     1.348    -7.087     5.614     0.020     9.735    31.589  8905.790  1024.361    11.229    23.345
       123    11.453     0.982     0.000     1.365    -7.119     5.727     0.020     9.732    31.585  8731.142  1024.358    11.453    23.830
       124    11.682     0.997     0.000     1.381    -7.152     5.841     0.020     9.729    31.581  8559.921  1024.355    11.682    24.324
       125    11.916     1.012     0.000     1.398    -7.184     5.958     0.020     9.727    31.577  8392.058  1024.353    11.916    24.828
       126    12.154     1.027     0.000     1.416    -7.217     6.077     0.020     9.724    31.574  8227.489  1024.350    12.154    25.340
       127    12.397     1.042     0.000     1.433    -7.251     6.199     0.020     9.722    31.570  8066.148  1024.348    12.397    25.863
       128    12.645     1.058     0.000     1.451    -7.284     6.323     0.020     9.719    31.567  7907.971  1024.346    12.645    26.395
       129    12.898     1.074     0.000     1.468    -7.318     6.449     0.020     9.716    31.564  7752.898  1024.344    12.898    26.937
       130    13.156     1.090     0.000     1.486    -7.352     6.578     0.020     9.714    31.561  7600.867  1024.342    13.156    27.490
       131    13.420     1.107     0.000     1.505    -7.386     6.710     0.020     9.711    31.558  7451.817  1024.340    13.420    28.054
       132    13.688     1.125     0.000     1.523    -7.421     6.844     0.020     9.708    31.555  7305.692  1024.339    13.688    28.628
       133    13.962     1.142     0.000     1.542    -7.456     6.981     0.020     9.706    31.553  7162.433  1024.337    13.962    29.214
       134    14.241     1.160     0.000     1.561    -7.491     7.120     0.020     9.703    31.551  7021.984  1024.336    14.241    29.811
       135    14.526     1.179     0.000     1.580    -7.526     7.263     0.020     9.701    31.549  6884.289  1024.335    14.526    30.420
       136    14.816     1.198     0.000     1.599    -7.561     7.408     0.020     9.698    31.547  6749.296  1024.334    14.816    31.041
       137    15.113     1.217     0.000     1.619    -7.597     7.556     0.020     9.695    31.545  6616.951  1024.333    15.113    31.675
       138    15.415     1.237     0.000     1.638    -7.633     7.707     0.020     9.693    31.543  6487.201  1024.332    15.415    32.322
       139    15.723     1.258     0.000     1.659    -7.669     7.862     0.020     9.690    31.542  6359.996  1024.331    15.723    32.982
       140    16.038     1.279     0.000     1.679    -7.705     8.019     0.020     9.687    31.540  6235.287  1024.330    16.038    33.655
       141    16.359     1.300     0.000     1.700    -7.741     8.179     0.020     9.685    31.539  6113.023  1024.330    16.359    34.342
       142    16.686     1.323     0.000     1.721    -7.777     8.343     0.020     9.682    31.538  5993.157  1024.329    16.686    35.044
       143    17.019     1.346     0.000     1.742    -7.814     8.510     0.020     9.679    31.537  5875.643  1024.329    17.019    35.760
       144    17.360     1.369     0.000     1.763    -7.850     8.680     0.020     9.677    31.536  5760.433  1024.329    17.360    36.491
       145    17.707     1.393     0.000     1.785    -7.887     8.854     0.020     9.674    31.536  5647.483  1024.329    17.707    37.238
---------------------------- Plume traps -----------------------------
       146    18.061     1.419     0.000     1.807    -7.924     9.031     0.020     9.671    31.535  5536.748  1024.329    18.061    38.000
       147    18.422     1.444     0.000     1.830    -7.960     9.211     0.020     9.668    31.535  5428.185  1024.329    18.422    38.779
       148    18.791     1.471     0.000     1.853    -7.997     9.395     0.020     9.666    31.534  5321.751  1024.329    18.791    39.574
       149    19.161     1.498     0.000     1.876    -8.033     9.581     0.020     9.663    31.534  5218.912  1024.330    19.161    40.374
       150    19.514     1.525     0.000     1.897    -8.067     9.757     0.020     9.661    31.534  5124.608  1024.330    19.514    41.136
       151    19.851     1.552     0.000     1.918    -8.098     9.925     0.020     9.658    31.534  5037.611  1024.330    19.851    41.860
       152    20.171     1.577     0.000     1.937    -8.127    10.085     0.020     9.656    31.534  4957.720  1024.331    20.171    42.547
       153    20.476     1.602     0.000     1.956    -8.154    10.238     0.020     9.654    31.535  4883.672  1024.331    20.476    43.202
       154    20.769     1.625     0.000     1.973    -8.180    10.385     0.020     9.652    31.535  4814.816  1024.332    20.769    43.829
       155    21.051     1.648     0.000     1.990    -8.204    10.525     0.020     9.650    31.535  4750.413  1024.332    21.051    44.431
       156    21.322     1.671     0.000     2.006    -8.226    10.661     0.020     9.648    31.536  4689.973  1024.333    21.322    45.011
       157    21.584     1.693     0.000     2.022    -8.248    10.792     0.020     9.646    31.536  4633.037  1024.334    21.584    45.570
       158    21.838     1.714     0.000     2.036    -8.268    10.919     0.020     9.645    31.536  4579.249  1024.334    21.838    46.111
