****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
       196    47.332     2.501     3.411     1.439    -6.953
       197    48.278     2.536     3.453     1.451    -6.897
       198    49.243     2.572     3.496     1.462    -6.840
       199    50.228     2.607     3.539     1.474    -6.783
       200    51.232     2.644     3.583     1.486    -6.726
       201    52.256     2.681     3.626     1.498    -6.668
       202    53.301     2.718     3.670     1.509    -6.610
       203    54.366     2.755     3.715     1.521    -6.551
       204    55.453     2.794     3.759     1.532    -6.492
       205    56.562     2.832     3.805     1.544    -6.432
       206    57.692     2.871     3.850     1.555    -6.372
       207    58.846     2.910     3.896     1.566    -6.311
       208    60.022     2.950     3.942     1.578    -6.250
       209    61.222     2.990     3.988     1.589    -6.188
       210    62.446     3.031     4.035     1.600    -6.126
       211    63.695     3.072     4.082     1.611    -6.063
       212    64.968     3.114     4.130     1.622    -6.000
       213    66.267     3.156     4.178     1.633    -5.936
       214    67.592     3.198     4.226     1.644    -5.872
       215    68.943     3.241     4.275     1.655    -5.807
       216    70.322     3.285     4.324     1.666    -5.742
       217    71.728     3.329     4.374     1.676    -5.676
       218    73.162     3.373     4.423     1.687    -5.610
       219    74.625     3.418     4.474     1.698    -5.543
       220    76.117     3.463     4.525     1.708    -5.475
       221    77.638     3.509     4.576     1.719    -5.408
       222    79.191     3.556     4.627     1.729    -5.339
       223    80.774     3.603     4.679     1.740    -5.271
       224    82.389     3.650     4.732     1.750    -5.201
       225    84.036     3.698     4.785     1.760    -5.132
       226    85.717     3.747     4.838     1.770    -5.061
